iter	Passed	Remaining
0	57	57696
1	58	28949
2	58	19372
3	58	14589
4	58	11710
5	59	9785
6	59	8413
7	59	7381
8	59	6578
9	59	5937
10	60	5411
11	60	4973
12	60	4602
13	60	4284
14	61	4008
15	61	3767
16	61	3554
17	61	3365
18	61	3197
19	62	3045
20	62	2908
21	62	2782
22	62	2668
23	63	2563
24	63	2466
25	63	2378
26	63	2296
27	63	2219
28	64	2147
29	64	2081
30	64	2018
31	64	1960
32	65	1904
33	65	1852
34	65	1804
35	65	1758
36	65	1714
37	66	1672
38	66	1633
39	66	1595
40	66	1560
41	66	1526
42	67	1494
43	67	1463
44	67	1433
45	67	1405
46	67	1378
47	68	1352
48	68	1328
49	68	1304
50	68	1281
51	69	1259
52	69	1239
53	69	1218
54	69	1199
55	69	1179
56	70	1161
57	70	1143
58	70	1126
59	70	1109
60	71	1093
61	71	1077
62	71	1062
63	71	1048
64	71	1033
65	72	1020
66	72	1006
67	72	993
68	72	980
69	72	968
70	73	956
71	73	945
72	73	933
73	73	922
74	74	913
75	74	903
76	74	892
77	74	882
78	74	872
79	75	863
80	75	854
81	75	844
82	75	834
83	75	826
84	75	817
85	76	809
86	76	801
87	76	794
88	76	786
89	77	779
90	77	771
91	77	764
92	77	757
93	77	749
94	78	743
95	78	736
96	78	729
97	78	723
98	78	717
99	79	711
100	79	705
101	79	699
102	79	693
103	79	687
104	80	682
105	80	676
106	80	671
107	80	665
108	80	660
109	81	655
110	81	650
111	81	645
112	81	640
113	81	635
114	82	631
115	82	626
116	82	621
117	82	617
118	82	612
119	82	608
120	83	604
121	83	599
122	83	595
123	83	591
124	83	587
125	84	583
126	84	579
127	84	575
128	84	571
129	84	567
130	85	564
131	85	560
132	85	557
133	85	553
134	85	550
135	86	546
136	86	543
137	86	539
138	86	536
139	86	533
140	87	530
141	87	526
142	87	523
143	87	520
144	87	517
145	87	514
146	88	511
147	88	508
148	88	507
149	89	505
150	89	503
151	89	500
152	89	498
153	90	495
154	90	492
155	90	490
156	90	487
157	91	485
158	91	482
